t0,period,true_t0,true_period,found,radius,tau,delta
3.8153476497487215,0.8002875359419928,0.21952540157092992,0.4,True,4.517475088183116,6.443471557124056,20.312153022779253
4.10929654691985,2.013551693961745,0.6116322735637753,1.4666666666666668,False,4.517475088183116,4.178586905502037,20.312153022779253
4.124919578962703,1.6764595574446806,1.1045204187597428,2.533333333333333,False,4.517475088183116,3.482644409622962,20.312153022779253
4.120933156154641,1.6764595574446806,1.982872449268472,3.6,False,4.517475088183116,3.097698028183392,20.312153022779253
4.1240037255513995,1.6764595574446806,4.512805915397158,4.666666666666667,False,4.517475088183116,2.8409983789091675,20.312153022779253
4.117071745683301,1.6764595574446806,1.2727608475811731,5.733333333333333,False,4.517475088183116,2.652594402454043,20.312153022779253
4.118101828360686,1.6764595574446806,6.071449029764811,6.800000000000001,False,4.517475088183116,2.5059377318042237,20.312153022779253
4.113235324686961,1.6764595574446806,0.6002918764084632,7.866666666666667,False,4.517475088183116,2.3871314257209737,20.312153022779253
3.7646613468134866,1.6764595574446806,7.8026359982735585,8.933333333333334,False,4.517475088183116,2.28806697710423,20.312153022779253
4.109729943708409,1.6764595574446806,0.10374153885699955,10.0,False,4.517475088183116,2.2036362751555147,20.312153022779253
3.9039658768962253,0.8002875359419928,0.3085282573066984,0.4,True,5.390157305476954,6.443471557124056,14.267392624635722
4.10929654691985,2.013551693961745,0.26439554368592816,1.4666666666666668,False,5.390157305476954,4.178586905502037,14.267392624635722
5.443923752305194,2.3506438304788095,0.39054586736183666,2.533333333333333,False,5.390157305476954,3.482644409622962,14.267392624635722
4.120933156154641,1.6764595574446806,2.799728678065753,3.6,False,5.390157305476954,3.097698028183392,14.267392624635722
4.117043335929743,1.6764595574446806,2.398402270939221,4.666666666666667,False,5.390157305476954,2.8409983789091675,14.267392624635722
4.119200583216564,1.6764595574446806,4.866554797673184,5.733333333333333,False,5.390157305476954,2.652594402454043,14.267392624635722
4.118101828360686,1.6764595574446806,1.5183793382440645,6.800000000000001,False,5.390157305476954,2.5059377318042237,14.267392624635722
4.113235324686961,1.6764595574446806,2.31803135447193,7.866666666666667,False,5.390157305476954,2.3871314257209737,14.267392624635722
4.112792123838082,1.6764595574446806,5.810009892873686,8.933333333333334,False,5.390157305476954,2.28806697710423,14.267392624635722
3.7634070052921405,1.6764595574446806,0.9753360174945158,10.0,False,5.390157305476954,2.2036362751555147,14.267392624635722
3.4340588237240026,0.8002875359419928,0.2352523204309097,0.4,True,6.262839522770793,6.443471557124056,10.568294939770814
7.4189764834183745,4.393261657707213,0.07146315852005336,1.4666666666666668,False,6.262839522770793,4.178586905502037,10.568294939770814
4.114307840873166,2.013551693961745,0.5281000279757346,2.533333333333333,False,6.262839522770793,3.482644409622962,10.568294939770814
3.771974454795232,1.6764595574446806,1.8622723818477214,3.6,False,6.262839522770793,3.097698028183392,10.568294939770814
4.117043335929743,1.6764595574446806,4.480080748900953,4.666666666666667,False,6.262839522770793,2.8409983789091675,10.568294939770814
3.76474913392826,1.6764595574446806,4.9887117166626815,5.733333333333333,False,6.262839522770793,2.652594402454043,10.568294939770814
4.111341910790345,1.6764595574446806,2.0939576778498017,6.800000000000001,False,6.262839522770793,2.5059377318042237,10.568294939770814
3.7660956424740344,1.6764595574446806,3.3490084294153135,7.866666666666667,False,6.262839522770793,2.3871314257209737,10.568294939770814
3.7646613468134866,1.6764595574446806,6.512522764449464,8.933333333333334,False,6.262839522770793,2.28806697710423,10.568294939770814
4.109729943708409,1.6764595574446806,8.637599855700829,10.0,False,6.262839522770793,2.2036362751555147,10.568294939770814
3.8518005375115245,0.8002875359419928,0.257657414427334,0.4,True,7.135521740064632,6.443471557124056,8.141342488532482
3.362951622810799,1.4664458057257157,0.4195456051020896,1.4666666666666668,True,7.135521740064632,4.178586905502037,8.141342488532482
4.71685083146188,5.06477059632454,2.1758528104757007,2.533333333333333,True,7.135521740064632,3.482644409622962,8.141342488532482
4.0992602568248335,2.013551693961745,0.8946364587758278,3.6,False,7.135521740064632,3.097698028183392,8.141342488532482
3.769023854846921,1.6764595574446806,0.17995451077991173,4.666666666666667,False,7.135521740064632,2.8409983789091675,8.141342488532482
3.7658135526948917,1.6764595574446806,2.6261817031514525,5.733333333333333,False,7.135521740064632,2.652594402454043,8.141342488532482
4.118101828360686,1.6764595574446806,4.953848902850935,6.800000000000001,False,7.135521740064632,2.5059377318042237,8.141342488532482
4.112050547614562,1.6764595574446806,7.430039942477481,7.866666666666667,False,7.135521740064632,2.3871314257209737,8.141342488532482
3.7646613468134866,1.6764595574446806,3.4373065343495774,8.933333333333334,False,7.135521740064632,2.28806697710423,8.141342488532482
3.7634070052921405,1.6764595574446806,5.468891561453547,10.0,False,7.135521740064632,2.2036362751555147,8.141342488532482
3.359896052068645,0.8002875359419928,0.16307481123211445,0.4,True,8.00820395735847,6.443471557124056,6.463641212073202
3.304617877473892,1.4664458057257157,0.36802131482591227,1.4666666666666668,True,8.00820395735847,4.178586905502037,6.463641212073202
6.011550117622651,5.068783597949743,0.9488349677466515,2.533333333333333,True,8.00820395735847,3.482644409622962,6.463641212073202
4.120933156154641,1.6764595574446806,0.41419643900320424,3.6,False,8.00820395735847,3.097698028183392,6.463641212073202
4.117043335929743,1.6764595574446806,3.895930027106364,4.666666666666667,False,8.00820395735847,2.8409983789091675,6.463641212073202
3.762620296394997,1.6764595574446806,5.670332677260108,5.733333333333333,False,8.00820395735847,2.652594402454043,6.463641212073202
4.08277483184096,2.013551693961745,5.330059985479105,6.800000000000001,False,8.00820395735847,2.5059377318042237,6.463641212073202
