period,radius,epoch,duration_found,period_found,epoch_found,found,snr,sde,run
1.0,0.5,1411.0708862326005,0.04690095195292342,16.06022597588004,1412.120448227325,False,8.446630542516232,8.79848401294267,2
1.0,0.5,1411.237552899267,0.046790339923556315,15.95653427305191,1412.4461764630641,False,7.672711262462644,9.983111992678877,2
1.0,0.5,1411.4042195659338,0.047385933413968205,16.06022597588004,1412.1203130341412,False,8.215679278341463,8.804552438295413,2
1.0,0.5,1411.5708862326005,0.04690095195292342,16.06022597588004,1412.120448227325,False,8.543219232013845,8.577979324516752,2
1.0,0.5,1411.737552899267,0.04690095195292342,16.06022597588004,1412.120448227325,False,8.566036720222904,8.572756777360748,2
1.0,0.66,1411.0708862326005,0.011745313990615526,1.239490176438228,1411.8187026948665,False,10.132984713464074,9.30542704950198,2
1.0,0.66,1411.237552899267,0.047228425606305656,15.95653427305191,1412.447291419356,False,7.651946560778014,9.539196283577972,2
1.0,0.66,1411.4042195659338,0.004491914625493737,1.239490176438228,1411.8180755365438,False,7.281309484351059,8.600389913166469,2
1.0,0.66,1411.5708862326005,0.05727307626016832,15.37238990827878,1413.9918806532153,False,10.00811342062652,9.805202339252219,2
1.0,0.66,1411.737552899267,0.0059909623788663175,1.239490176438228,1411.8188692506187,False,7.564079877508619,9.576250394120542,2
1.0,0.82,1411.0708862326005,0.02686817783545739,1.0000475200713934,1411.0699586084036,True,13.358455997089278,15.527160694370291,0
1.0,0.82,1411.237552899267,0.02686817783545739,1.0000475200713934,1411.2365839559131,True,13.706843798617237,15.86002064558844,0
1.0,0.82,1411.4042195659338,0.02686817783545739,1.0000475200713934,1411.4035047384361,True,13.49887064435328,14.871626895677084,0
1.0,0.82,1411.5708862326005,0.02686817783545739,1.0000475200713934,1411.5695392159191,True,12.808123986783164,13.46829176677511,0
1.0,0.82,1411.737552899267,0.0059909623788663175,1.239490176438228,1411.8188692506187,False,7.542132050299376,9.149201441213878,2
1.0,0.97,1411.0708862326005,0.02686817783545739,1.0000475200713934,1411.0699586084036,True,18.431520869692,26.595523279509855,0
1.0,0.97,1411.237552899267,0.02686817783545739,1.0000475200713934,1411.2365839559131,True,18.829687024449907,26.898735535375035,0
1.0,0.97,1411.4042195659338,0.02686817783545739,1.0000475200713934,1411.4035047384361,True,18.578261294820514,24.74343490966454,0
1.0,0.97,1411.5708862326005,0.02686817783545739,1.0000475200713934,1411.5695392159191,True,17.790892073775986,23.645185838574225,0
1.0,0.97,1411.737552899267,0.027375124587069772,1.0000475200713934,1411.735278258389,True,14.887207871401165,16.885185489934127,0
1.0,1.13,1411.0708862326005,0.02686817783545739,1.0000475200713934,1411.0699586084036,True,24.76631516524566,35.94094324218893,0
1.0,1.13,1411.237552899267,0.02686817783545739,1.0000475200713934,1411.2365839559131,True,25.22664423970933,36.38159573117412,0
1.0,1.13,1411.4042195659338,0.02686817783545739,1.0000475200713934,1411.403209303423,True,24.94249146135051,33.41465441438753,0
1.0,1.13,1411.5708862326005,0.02686817783545739,1.0000475200713934,1411.5695392159191,True,24.01376693273418,32.904679000844766,0
1.0,1.13,1411.737552899267,0.027375124587069772,1.0000475200713934,1411.7355736934023,True,21.63004866109051,28.613421917713037,0
1.0,1.29,1411.0708862326005,0.02686817783545739,1.0000475200713934,1411.0696631733902,True,31.97867822725604,40.72631682803694,0
1.0,1.29,1411.237552899267,0.02686817783545739,1.0000475200713934,1411.2362885209,True,32.61955952379652,41.33005815857581,0
1.0,1.29,1411.4042195659338,0.02686817783545739,1.0000475200713934,1411.403209303423,True,32.24814526973894,38.38303328550232,0
1.0,1.29,1411.5708862326005,0.02686817783545739,1.0000475200713934,1411.5695392159191,True,31.152772399051866,38.281716611993474,0
1.0,1.29,1411.737552899267,0.027375124587069772,1.0000475200713934,1411.7358691284155,True,29.242964366191792,36.142057315940235,0
1.0,1.45,1411.0708862326005,0.02686817783545739,1.0000475200713934,1411.0696631733902,True,40.15987718607657,42.90937051410591,0
1.0,1.45,1411.237552899267,0.02686817783545739,1.0000475200713934,1411.2362885209,True,40.88331381835632,43.63340074542237,0
1.0,1.45,1411.4042195659338,0.02686817783545739,1.0000475200713934,1411.403209303423,True,40.46492127500879,40.99924077432331,0
1.0,1.45,1411.5708862326005,0.02686817783545739,1.0000475200713934,1411.5695392159191,True,39.18453469161382,40.93809978467112,0
1.0,1.45,1411.737552899267,0.027375124587069772,1.0000475200713934,1411.7358691284155,True,37.90135884716486,39.884176065509614,0
1.0,1.61,1411.0708862326005,0.02686817783545739,1.0000475200713934,1411.0696631733902,True,49.227656762542686,44.101244278949814,0
1.0,1.61,1411.237552899267,0.02686817783545739,1.0000475200713934,1411.2362885209,True,50.04133622566129,44.920813692595836,0
1.0,1.61,1411.4042195659338,0.02686817783545739,1.0000475200713934,1411.403209303423,True,49.57043479340871,42.59285744431931,0
1.0,1.61,1411.5708862326005,0.02686817783545739,1.0000475200713934,1411.5695392159191,True,48.089288533046876,42.4129125071174,0
1.0,1.61,1411.737552899267,0.027375124587069772,1.0000475200713934,1411.7358691284155,True,47.50387876916637,41.88985837049284,0
1.0,1.76,1411.0708862326005,20.0,0.0,0.0,True,20.0,2000.0,1
1.0,1.76,1411.237552899267,20.0,0.0,0.0,True,20.0,2000.0,1
1.0,1.76,1411.4042195659338,20.0,0.0,0.0,True,20.0,2000.0,1
1.0,1.76,1411.5708862326005,20.0,0.0,0.0,True,20.0,2000.0,1
1.0,1.76,1411.737552899267,20.0,0.0,0.0,True,20.0,2000.0,1
