period,radius,epoch,duration_found,period_found,epoch_found,found,snr,sde,run
1.0,0.5,1411.0708862326005,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.335675820732767,6.468997984166827,2
1.0,0.5,1411.237552899267,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.432858462123152,7.145574366398286,2
1.0,0.5,1411.4042195659338,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.444608829796939,6.8763326885167855,2
1.0,0.5,1411.5708862326005,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.501296013984838,7.362407597664525,2
1.0,0.5,1411.737552899267,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.669720627150274,7.523516230438275,2
1.0,0.51,1411.0708862326005,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.330071437981266,6.430295575211281,2
1.0,0.51,1411.237552899267,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.431186049855856,7.110023960300168,2
1.0,0.51,1411.4042195659338,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.443435534231741,6.842714768755779,2
1.0,0.51,1411.5708862326005,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.502391846375479,7.349000735246381,2
1.0,0.51,1411.737552899267,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.677615369190729,7.510996068028014,2
1.0,0.53,1411.0708862326005,0.00319036826820595,1.0000475200713934,1411.0774809593665,False,4.446879079070335,6.376772575667857,2
1.0,0.53,1411.237552899267,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.427698865953917,7.071560625254615,2
1.0,0.53,1411.4042195659338,0.00514846852289549,0.9995336438127153,1411.410177160336,False,3.5594241023928674,7.2396680013404415,2
1.0,0.53,1411.5708862326005,0.005151115433040881,1.0000475200713934,1411.1374961348786,False,3.8326351338903084,7.45826004976129,2
1.0,0.53,1411.737552899267,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.693829597532157,7.532540931449793,2
1.0,0.54,1411.0708862326005,0.00319036826820595,1.0000475200713934,1411.0774809593665,False,4.530567310714655,7.053969473508766,2
1.0,0.54,1411.237552899267,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.4258824268941455,7.047971745640108,2
1.0,0.54,1411.4042195659338,0.00514846852289549,0.9995336438127153,1411.410177160336,False,3.6363870188149727,7.702889948782241,2
1.0,0.54,1411.5708862326005,0.005151115433040881,1.0000475200713934,1411.1374961348786,False,3.8319035494572034,8.153777136483297,2
1.0,0.54,1411.737552899267,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.70214714535686,7.545516740946759,2
1.0,0.56,1411.0708862326005,0.00319036826820595,1.0000475200713934,1411.0774809593665,False,4.702582505554924,8.509399229925503,2
1.0,0.56,1411.237552899267,0.005151115433040881,1.0000475200713934,1411.2270613096916,True,5.441356603659994,8.026195318062268,1
1.0,0.56,1411.4042195659338,0.005151115433040881,1.0000475200713934,1411.3953158880904,False,4.408258786411169,8.943700235375502,2
1.0,0.56,1411.5708862326005,0.005151115433040881,1.0000475200713934,1411.1374961348786,False,3.830371533905785,9.654914776299314,2
1.0,0.56,1411.737552899267,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.719198472755241,7.56512006268462,2
1.0,0.58,1411.0708862326005,0.026287305209905344,1.0000475200713934,1411.0704512617708,True,6.768214044535575,10.08594016415686,1
1.0,0.58,1411.237552899267,0.005151115433040881,1.0000475200713934,1411.2270613096916,True,5.659007366496302,9.687690473306386,1
1.0,0.58,1411.4042195659338,0.026287305209905344,1.0000475200713934,1411.403800435128,True,7.040761991721783,10.435851758655318,1
1.0,0.58,1411.5708862326005,0.026287305209905344,1.0000475200713934,1411.570327391526,True,7.355723755711751,11.243690720557126,1
1.0,0.58,1411.737552899267,0.0684534177757991,15.37238990827878,1413.9947896103024,False,6.736798415782172,7.576404231760429,2
1.0,0.6,1411.0708862326005,0.026287305209905344,1.0000475200713934,1411.0704512617708,True,7.26932267518815,11.763870948979504,1
1.0,0.6,1411.237552899267,0.026287305209905344,1.0000475200713934,1411.2369782181688,True,7.43721764478235,11.484602866304348,1
1.0,0.6,1411.4042195659338,0.026287305209905344,1.0000475200713934,1411.403800435128,True,7.544595610497756,12.023288209682192,1
1.0,0.6,1411.5708862326005,0.026287305209905344,1.0000475200713934,1411.570327391526,True,7.856054368017238,12.955710571102054,1
1.0,0.6,1411.737552899267,0.06844886846910736,15.37238990827878,1413.995503835696,False,6.495722103094478,7.554047850080347,2
1.0,0.63,1411.0708862326005,0.026287305209905344,1.0000475200713934,1411.0701560012099,True,7.952942790450618,14.513316316650059,1
1.0,0.63,1411.237552899267,0.026287305209905344,1.0000475200713934,1411.2369782181688,True,8.254959453661137,14.43932623890272,1
1.0,0.63,1411.4042195659338,0.026287305209905344,1.0000475200713934,1411.403800435128,True,8.332211189024385,14.576457203310737,1
1.0,0.63,1411.5708862326005,0.026287305209905344,1.0000475200713934,1411.570327391526,True,8.638197905595552,15.704357868527229,1
1.0,0.63,1411.737552899267,0.005250465480536948,1.0000475200713934,1411.7356152013688,True,5.239018019507107,9.33603939591836,1
1.0,0.65,1411.0708862326005,0.026287305209905344,1.0000475200713934,1411.0701560012099,True,8.500149721801419,16.48353874788784,1
1.0,0.65,1411.237552899267,0.026287305209905344,1.0000475200713934,1411.2369782181688,True,8.822170506523294,16.556474073329305,1
1.0,0.65,1411.4042195659338,0.026287305209905344,1.0000475200713934,1411.403800435128,True,8.87851585000344,16.34589708122575,1
1.0,0.65,1411.5708862326005,0.026287305209905344,1.0000475200713934,1411.570327391526,True,9.180710487604673,17.631518199141652,1
1.0,0.65,1411.737552899267,0.026784020109574758,1.0000475200713934,1411.7351327208928,True,7.405667115913505,10.985909862367576,1
1.0,0.68,1411.0708862326005,0.026797785370126472,1.0000475200713934,1411.0704021969257,True,9.73195292525006,17.295032718799355,0
1.0,0.68,1411.237552899267,0.026287305209905344,1.0000475200713934,1411.2369782181688,True,9.706033773552429,19.88827790657057,1
1.0,0.68,1411.4042195659338,0.026797785370126472,1.0000475200713934,1411.4033578057333,True,10.373672135375063,17.353601674809756,0
1.0,0.68,1411.5708862326005,0.026797785370126472,1.0000475200713934,1411.569835610137,True,10.478499565772404,17.656785913050136,0
1.0,0.68,1411.737552899267,0.026784020109574758,1.0000475200713934,1411.7351327208928,True,8.247954158799294,13.682454130837478,1
1.0,0.72,1411.0708862326005,0.026797785370126472,1.0000475200713934,1411.0704021969257,True,10.947912469575039,21.1908647156731,0
1.0,0.72,1411.237552899267,0.026797785370126472,1.0000475200713934,1411.2365848279173,True,10.765250323213838,19.974459815723606,0
1.0,0.72,1411.4042195659338,0.026797785370126472,1.0000475200713934,1411.4033578057333,True,11.599454698643646,20.704539424301167,0
1.0,0.72,1411.5708862326005,0.026797785370126472,1.0000475200713934,1411.569835610137,True,11.671967124055955,21.269957024318224,0
1.0,0.72,1411.737552899267,0.022564881030189665,1.0000475200713934,1411.7357635901824,True,10.753237498517398,16.219721497276044,0
1.0,0.76,1411.0708862326005,0.026797785370126472,1.0000475200713934,1411.0701070235134,True,12.294514365714761,25.018362586726234,0
