t0,period,true_t0,true_period,found,radius,tau,delta
0.6059156823714287,0.40032504063007873,0.21952540157092992,0.4,True,2.0442185963415542,1.9472522080141663,5.903862817407115
0.6166846315211387,1.4664458057257157,0.6116322735637753,1.4666666666666668,True,2.0442185963415542,1.2627917274069018,5.903862817407115
1.1069702626962226,2.5339042380297534,1.1045204187597428,2.533333333333333,True,2.0442185963415542,1.0524741137203626,5.903862817407115
4.801473885715268,9.38142267783473,1.982872449268472,3.6,False,2.0442185963415542,0.9361412200961944,5.903862817407115
4.801473885715268,9.38142267783473,4.512805915397158,4.666666666666667,False,2.0442185963415542,0.8585651876090115,5.903862817407115
4.801473885715268,9.38142267783473,1.2727608475811731,5.733333333333333,False,2.0442185963415542,0.8016284795164195,5.903862817407115
4.801473885715268,9.38142267783473,6.071449029764811,6.800000000000001,False,2.0442185963415542,0.7573080346737437,5.903862817407115
4.801473885715268,9.38142267783473,0.6002918764084632,7.866666666666667,False,2.0442185963415542,0.7214041217293568,5.903862817407115
4.801473885715268,9.38142267783473,7.8026359982735585,8.933333333333334,False,2.0442185963415542,0.6914663056632051,5.903862817407115
4.801473885715268,9.38142267783473,0.10374153885699955,10.0,False,2.0442185963415542,0.6659508875634623,5.903862817407115
0.6971022911424302,0.40032504063007873,0.3085282573066984,0.4,True,2.439119106574613,1.9472522080141663,4.146912871494802
1.7319802741092187,1.4664458057257157,0.26439554368592816,1.4666666666666668,True,2.439119106574613,1.2627917274069018,4.146912871494802
2.916721473520965,2.5339042380297534,0.39054586736183666,2.533333333333333,True,2.439119106574613,1.0524741137203626,4.146912871494802
2.8069974937395727,3.597349668708588,2.799728678065753,3.6,True,2.439119106574613,0.9361412200961944,4.146912871494802
2.397268708479942,4.666145768221027,2.398402270939221,4.666666666666667,True,2.439119106574613,0.8585651876090115,4.146912871494802
4.829252108444734,5.746980872609075,4.866554797673184,5.733333333333333,False,2.439119106574613,0.8016284795164195,4.146912871494802
1.5194768702288002,6.801062632829103,1.5183793382440645,6.800000000000001,True,2.439119106574613,0.7573080346737437,4.146912871494802
2.3417122630210088,7.861832729091136,2.31803135447193,7.866666666666667,True,2.439119106574613,0.7214041217293568,4.146912871494802
5.804267726249009,5.95699462432804,5.810009892873686,8.933333333333334,False,2.439119106574613,0.6914663056632051,4.146912871494802
4.801473885715268,9.38142267783473,0.9753360174945158,10.0,False,2.439119106574613,0.6659508875634623,4.146912871494802
0.6242642073070571,0.40032504063007873,0.2352523204309097,0.4,True,2.834019616807672,1.9472522080141663,3.071745445612418
1.5291992481841135,1.4677834729341166,0.07146315852005336,1.4666666666666668,True,2.834019616807672,1.2627917274069018,3.071745445612418
0.5305721410597926,2.532566570821352,0.5281000279757346,2.533333333333333,True,2.834019616807672,1.0524741137203626,3.071745445612418
1.8625379209377113,3.60002500312539,1.8622723818477214,3.6,True,2.834019616807672,0.9361412200961944,3.071745445612418
4.48480214659935,4.664808101012626,4.480080748900953,4.666666666666667,True,2.834019616807672,0.8585651876090115,3.071745445612418
4.984810155729747,5.733604200525065,4.9887117166626815,5.733333333333333,True,2.834019616807672,0.8016284795164195,3.071745445612418
2.0889304361828636,6.7983872984123,2.0939576778498017,6.800000000000001,True,2.834019616807672,0.7573080346737437,3.071745445612418
3.3514506592371163,7.857819727465932,3.3490084294153135,7.866666666666667,True,2.834019616807672,0.7214041217293568,3.071745445612418
6.523723694942192,8.92527815976997,6.512522764449464,8.933333333333334,True,2.834019616807672,0.6914663056632051,3.071745445612418
8.677924867612319,9.957957244655582,8.637599855700829,10.0,False,2.834019616807672,0.6659508875634623,3.071745445612418
0.6498409390355087,0.40032504063007873,0.257657414427334,0.4,True,3.2289201270407313,1.9472522080141663,2.3663355208047263
1.8875383213942314,1.4664458057257157,0.4195456051020896,1.4666666666666668,True,3.2289201270407313,1.2627917274069018,2.3663355208047263
2.1778207489171564,2.532566570821352,2.1758528104757007,2.533333333333333,True,3.2289201270407313,1.0524741137203626,2.3663355208047263
0.8916890365428571,3.60002500312539,0.8946364587758278,3.6,True,3.2289201270407313,0.9361412200961944,2.3663355208047263
4.832029930717681,4.674171771471433,0.17995451077991173,4.666666666666667,True,3.2289201270407313,0.8585651876090115,2.3663355208047263
2.625050134861567,5.730928866108263,2.6261817031514525,5.733333333333333,True,3.2289201270407313,0.8016284795164195,2.3663355208047263
4.950087377317914,6.802400300037504,4.953848902850935,6.800000000000001,True,3.2289201270407313,0.7573080346737437,2.3663355208047263
7.426515933649853,7.869858732341542,7.430039942477481,7.866666666666667,True,3.2289201270407313,0.7214041217293568,2.3663355208047263
3.432007505152569,8.931966495811976,3.4373065343495774,8.933333333333334,True,3.2289201270407313,0.6914663056632051,2.3663355208047263
5.463984497813044,10.004775596949617,5.468891561453547,10.0,True,3.2289201270407313,0.6659508875634623,2.3663355208047263
0.5542062030073852,0.40032504063007873,0.16307481123211445,0.4,True,3.62382063727379,1.9472522080141663,1.8787004496383937
1.834759698208245,1.4664458057257157,0.36802131482591227,1.4666666666666668,True,3.62382063727379,1.2627917274069018,1.8787004496383937
0.9528011265476835,2.532566570821352,0.9488349677466515,2.533333333333333,True,3.62382063727379,1.0524741137203626,1.8787004496383937
4.018128004744312,3.598687335916989,0.41419643900320424,3.6,True,3.62382063727379,0.9361412200961944,1.8787004496383937
3.897292735871133,4.666145768221027,3.895930027106364,4.666666666666667,True,3.62382063727379,0.8585651876090115,1.8787004496383937
5.673710079420516,5.733604200525065,5.670332677260108,5.733333333333333,True,3.62382063727379,0.8016284795164195,1.8787004496383937
