nuance_found_t0,nuance_found_period,nuance_found,tls_found_t0,tls_found_period,tls_found,delta,found_duration,found_period,found_t0,planet_period,planet_radius,star_amplitude,star_mass,star_period,star_radius,tau,transit_depth,transit_duration,transit_t0
1.7179302842699824,0.39977997799779974,True,1.7110500665781267,1.1999199919991999,False,20.473855211653163,0.020745794289861785,0.39977997799779974,1.7179302842699824,0.2,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,8.118265449219495,0.01775776942063485,0.020745794289861785,0.10976270078546496
1.5499260915404203,0.16867686768676868,False,1.7291667223827467,0.7159115911591158,True,20.473855211653163,0.0317332951533361,0.16867686768676868,1.5499260915404203,0.7157894736842105,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,5.307355072525273,0.01775776942063485,0.0317332951533361,0.2984999612607898
1.5459435077319321,0.16867686768676868,False,2.2690238761723256,1.6773877387738774,False,20.473855211653163,0.03802543177781597,0.16867686768676868,1.5459435077319321,1.231578947368421,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,4.429137477888052,0.01775776942063485,0.03802543177781597,0.5369621426380468
1.5459435077319321,0.16867686768676868,False,2.943846997052824,1.6773877387738774,False,20.473855211653163,0.04272822936451916,0.16867686768676868,1.5459435077319321,1.7473684210526317,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,3.9416532700943887,0.01775776942063485,0.04272822936451916,0.9624468613408372
1.5473491255466925,0.16867686768676868,False,2.939950692313832,1.6773877387738774,False,20.473855211653163,0.046575588764825177,0.16867686768676868,1.5473491255466925,2.2631578947368425,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,3.61605444969048,0.01775776942063485,0.046575588764825177,2.1885412146099004
1.5492232826330403,0.16867686768676868,False,2.940613284234987,1.6773877387738774,False,20.473855211653163,0.04987468615876053,0.16867686768676868,1.5492232826330403,2.7789473684210533,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,3.3768606475815774,0.01775776942063485,0.04987468615876053,0.6169073386072762
1.5525030575341485,0.16867686768676868,False,2.9368115428213595,1.6773877387738774,False,20.473855211653163,0.05278699983228718,0.16867686768676868,1.5525030575341485,3.2947368421052636,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,3.190555734084095,0.01775776942063485,0.05278699983228718,2.9417392357838796
1.5539086753489089,0.16867686768676868,False,2.2523548325334963,1.6773877387738774,False,20.473855211653163,0.05540918008478881,0.16867686768676868,1.5539086753489089,3.810526315789474,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,3.039566092518944,0.01775776942063485,0.05540918008478881,0.2907747447723421
1.5539086753489089,0.16867686768676868,False,2.2504451706836246,1.6773877387738774,False,20.473855211653163,0.057804210540736846,0.16867686768676868,1.5539086753489089,4.326315789473685,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,2.9136262466781386,0.01775776942063485,0.057804210540736846,3.7787314162888057
1.5539086753489089,0.16867686768676868,False,2.2508757653751186,1.6773877387738774,False,20.473855211653163,0.06001569100282553,0.16867686768676868,1.5539086753489089,4.842105263157896,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,2.80626386509606,0.01775776942063485,0.06001569100282553,0.050232745130757685
1.5541429449847026,0.16867686768676868,False,2.6115617012770116,1.3405440544054406,False,20.473855211653163,0.062075200029222774,0.16867686768676868,1.5541429449847026,5.357894736842106,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,2.713158635344131,0.01775776942063485,0.062075200029222774,4.132654814976566
1.553440136077322,0.16867686768676868,False,2.6101801975025913,1.3405440544054406,False,20.473855211653163,0.06400642927348581,0.16867686768676868,1.553440136077322,5.873684210526316,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,2.631296057469132,0.01775776942063485,0.06400642927348581,1.0588472251919707
1.5532058664415285,0.16867686768676868,False,2.6094046414810697,1.3405440544054406,False,20.473855211653163,0.06582766200954533,0.16867686768676868,1.5532058664415285,6.389473684210527,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,2.558496836414733,0.01775776942063485,0.06582766200954533,0.985019424468012
1.5494575522688334,0.16867686768676868,False,2.6085329102050254,1.3405440544054406,False,20.473855211653163,0.06755333796397345,0.16867686768676868,1.5494575522688334,6.905263157894738,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,2.4931390524302324,0.01775776942063485,0.06755333796397345,5.3702398035413275
1.5480519344540726,0.16867686768676868,False,2.606832651817763,1.3405440544054406,False,20.473855211653163,0.06919508373832707,0.16867686768676868,1.5480519344540726,7.421052631578948,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,2.433985998729451,0.01775776942063485,0.06919508373832707,3.814000603786807
1.546646316639312,0.16867686768676868,False,2.60530956498392,1.3405440544054406,False,20.473855211653163,0.07076241543120779,0.16867686768676868,1.546646316639312,7.936842105263159,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,2.3800751284943154,0.01775776942063485,0.07076241543120779,6.736932039373772
1.5468805862751056,0.16867686768676868,False,2.6053500675834176,1.3405440544054406,False,20.473855211653163,0.07226323205840574,0.16867686768676868,1.5468805862751056,8.452631578947368,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,2.330643955474854,0.01775776942063485,0.07226323205840574,1.8873972269504389
1.546646316639312,0.16867686768676868,False,2.604205521348936,1.3405440544054406,False,20.473855211653163,0.07370417089926612,0.16867686768676868,1.546646316639312,8.968421052631578,4.499600250556599,0.36357,0.287557,0.33683973,0.309563,2.285079160990562,0.01775776942063485,0.07370417089926612,2.6426798135728156
