,Unnamed: 0,Name,ra_epoch2000,dec_epoch2000,RA,DEC,Tmag,parallax,parallax_error,distL1350,MG,bp_rp,LS_Period,Log10_LS_Prob,Amplitude,Duration,flares,flarerate,teff_val,BC,L,Lergs,MeanAmp,MeanEnergy,MeanFlareDuration,MinAmp,MinEnergy,MinFlareDuration,MaxAmp,MaxEnergy,MaxFlareDuration,star_radius,star_mass,star_logg
13,13,248945338,20.2719731957616,-4.0365820550961,01:21:05.27,-04:02:11.7,10.85,10.9178,0.0791,91.6028357685299,10.43794740788556,2.616023,0.57901253,-9971.52917,0.04294,18.680661,8,0.4282503707979069,3994.39990234375,-0.34687,0.0072371744100524,2.6053827876188995e+31,0.018,2.3e+32,11.5,0.006,7.1000000000000005e+31,6.0,0.032,4.2e+32,20.0,0.995823,0.6,4.21985
14,14,183641863,20.4685140592196,-76.8829151638091,01:21:52.44,-76:52:58.5,13.27,25.9897,0.0493,38.477054142404654,11.67978192780107,2.843084,0.66752839,-241.18399,0.00376,52.326408,0,0.0,3925.89990234375,-0.39992,0.0024213369170225,8.716812901281275e+30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217944,0.187052,5.03334
15,15,41862291,20.9622269498392,-39.7525277186216,01:23:50.93,-39:45:09.1,12.39,18.3229,0.1581,54.58447821678192,9.96610018420138,2.537133,0.91733032,-133.02186,0.00176,44.093805,0,0.0,3665.0,-0.59353,0.0140272302579446,5.049802892860087e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395788,0.386717,4.83054
16,16,344225524,21.6531294192273,0.6252591251945,01:26:36.75,+00:37:30.9,13.6,18.2336,0.0958,54.846771572272246,11.416422655360838,3.11616,0.34940597,-1378.24345,0.03429,18.683439,0,0.0,3692.0,-0.57371,0.0036217206355205,1.3038194287874024e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277417,0.251077,4.95161
17,17,257397333,22.1646285349535,-14.9679732624198,01:28:39.51,-14:58:04.7,10.77,78.2469,0.2683,12.780358127425728,11.628856881676183,2.976173,0.32167214,-1737.56328,0.00463,18.672327,4,0.2142207556669289,4493.8,-0.13541,0.0019889380016814,7.16017680605319e+30,0.047,2.2e+32,23.0,0.006,3e+31,12.0,0.101,5.1e+32,44.0,0.240354,0.210495,4.99961
18,18,248986951,22.9831955934252,-0.7066409242242,01:31:55.97,-00:42:23.9,13.74,31.401,0.1219,31.847068143072477,12.792312714271628,3.423073,0.488327,-134.23011,0.00811,18.683439,1,0.0535233368974523,3678.699951171875,-0.58348,0.0010291221234176,3.704839644303676e+30,0.196,1.6e+32,6.0,0.196,1.6e+32,6.0,0.196,1.6e+32,6.0,0.170433,0.140769,5.12347
19,19,206617113,23.0957613300045,-56.3112890445373,01:32:22.98,-56:18:40.6,12.79,28.7874,0.0434,34.737575720470204,11.46444446772323,2.95523,0.24511798,-157.4969,0.00334,25.442313,0,0.0,3498.92,-0.75285,0.0040866007591822,1.4711762733056224e+31,,,,,,,,,,0.249955,0.220811,4.98636
20,20,164695231,24.7914279732272,-17.9822044949122,01:39:09.94,-17:58:55.9,13.38,20.742,0.0717,48.212490245127526,11.14663017998525,2.825964,0.57572104,-734.09633,0.02073,18.68205,2,0.1070546326554098,3930.800048828125,-0.39622,0.003943083077953,1.4195099080630851e+31,0.441,2e+33,10.0,0.135,6.0999999999999996e+32,8.0,0.748,3.4e+33,12.0,0.271119,0.244048,4.95922
21,22,10863087,25.9381029940545,-6.0445004745934,01:43:45.14,-06:02:40.2,10.36,46.8488,0.0702,21.345359009586673,10.02192868179578,2.764426,0.86236552,-4019.14057,0.01431,18.673716,20,1.0710241068248012,3676.89990234375,-0.58478,0.0132172321592553,4.758203577331917e+31,0.036,7.3e+32,12.7,0.008,9.600000000000001e+31,6.0,0.335,4.4000000000000005e+33,46.0,0.405366,0.397525,4.82174
22,23,229142295,26.6222871170555,-53.6590510815241,01:46:29.35,-53:39:32.6,11.17,57.2911,0.0921,17.454807732136146,11.363960653278577,3.111592,0.43239781,-467.33315,0.00177,44.117418,2,0.045333568705222,3489.0,-0.7248,0.0043685341489235,1.5726722936124604e+31,0.027,1.8e+32,9.0,0.014,5.5e+31,6.0,0.04,3e+32,12.0,0.266614,0.23905,4.96479
